Account_No,Reps,Sets,Time,Exercise_ID
1238,8,1,23/10/2015 17:06,1
1238,8,1,23/10/2015 17:06,1
1298,5,1,23/10/2015 17:06,1
1238,7,1,23/10/2015 17:06,1
1400,8,1,23/10/2015 17:06,1
1298,8,1,23/10/2015 17:06,1
1300,8,1,23/10/2015 17:06,1
1239,8,1,23/10/2015 17:06,2
1298,8,1,23/10/2015 17:06,2
1298,8,1,23/10/2015 17:06,2
1300,8,1,23/10/2015 17:06,2
1298,8,1,23/10/2015 17:06,3
1391,8,1,23/10/2015 17:06,3
1298,5,1,23/10/2015 17:06,3
1400,7,1,23/10/2015 17:06,3
1400,8,1,23/10/2015 17:06,3
1400,8,1,23/10/2015 17:06,3
1300,8,1,23/10/2015 17:06,3
1239,8,1,23/10/2015 17:06,2
1391,8,1,23/10/2015 17:06,2
1391,8,1,23/10/2015 17:06,2
1300,8,1,23/10/2015 17:06,2
1300,8,1,23/10/2015 22:01,4
1298,5,1,23/10/2015 22:01,4
1239,7,1,23/10/2015 22:01,4
1237,5,1,23/10/2015 22:01,4
1400,5,1,23/10/2015 22:01,4
1238,6,1,23/10/2015 22:01,4
1298,8,1,23/10/2015 22:01,4
1391,10,1,23/10/2015 22:01,5
1239,10,1,23/10/2015 22:01,5
1238,10,1,23/10/2015 22:01,5
1298,8,1,23/10/2015 22:01,6
1239,8,1,23/10/2015 22:01,6
1239,8,1,23/10/2015 22:01,7
1300,5,1,23/10/2015 22:01,7
1237,7,1,23/10/2015 22:01,7
1400,5,1,23/10/2015 22:01,7
1400,5,1,23/10/2015 22:01,7
1400,6,1,23/10/2015 22:01,7
1300,8,1,23/10/2015 22:01,7
1298,10,1,23/10/2015 22:01,8
1391,10,1,23/10/2015 22:01,8
1238,10,1,23/10/2015 22:01,8
1697,8,1,23/10/2015 22:01,9
1400,8,1,23/10/2015 22:01,9
1401,8,1,24/10/2015 10:19,10
1238,8,1,24/10/2015 10:19,10
1298,8,1,24/10/2015 10:19,10
1391,10,1,24/10/2015 10:19,10
1298,10,1,24/10/2015 10:19,11
1300,10,1,24/10/2015 10:19,11
1238,8,1,24/10/2015 10:19,12
1298,8,1,24/10/2015 10:19,12
1401,8,1,24/10/2015 10:19,12
1238,8,1,24/10/2015 10:19,12
1238,12,1,24/10/2015 10:19,13
1237,10,1,24/10/2015 10:19,13
1238,12,1,24/10/2015 10:19,13
1235,8,1,24/10/2015 10:19,10
1298,8,1,24/10/2015 10:19,10
1391,8,1,24/10/2015 10:19,10
1298,10,1,24/10/2015 10:19,10
1298,10,1,24/10/2015 10:19,11
1400,10,1,24/10/2015 10:19,11
1239,8,1,24/10/2015 10:19,14
1400,8,1,24/10/2015 10:19,14
1400,8,1,24/10/2015 10:19,14
1391,8,1,24/10/2015 10:19,14
1239,12,1,24/10/2015 10:19,13
1238,10,1,24/10/2015 10:19,13
1298,12,1,24/10/2015 10:19,13
1300,5,1,30/10/2015 13:07,3
1298,5,1,30/10/2015 13:07,3
1300,6,1,30/10/2015 13:07,3
1300,7,1,30/10/2015 13:07,3
1300,8,1,30/10/2015 13:07,3
1697,8,1,30/10/2015 13:07,3
1300,8,1,30/10/2015 13:07,3
1239,6,1,30/10/2015 13:07,3
1300,8,1,30/10/2015 13:07,2
1300,8,1,30/10/2015 13:07,2
1391,8,1,30/10/2015 13:07,2
1300,5,1,30/10/2015 13:07,1
1239,5,1,30/10/2015 13:07,1
1298,6,1,30/10/2015 13:07,1
1300,7,1,30/10/2015 13:07,1
1238,8,1,30/10/2015 13:07,1
1298,8,1,30/10/2015 13:07,1
8765,8,1,30/10/2015 13:07,1
1298,6,1,30/10/2015 13:07,1
1237,8,1,30/10/2015 13:07,2
1298,8,1,30/10/2015 13:07,2
1298,8,1,30/10/2015 13:07,2
1238,8,1,30/10/2015 17:47,10
1300,8,1,30/10/2015 17:47,10
1239,8,1,30/10/2015 17:47,10
1238,12,1,30/10/2015 17:47,10
1298,9,1,30/10/2015 17:47,14
1238,10,1,30/10/2015 17:47,14
1391,10,1,30/10/2015 17:47,14
1300,9,1,30/10/2015 17:47,14
1239,10,1,30/10/2015 17:47,13
1239,10,1,30/10/2015 17:47,13
1235,10,1,30/10/2015 17:47,13
1300,10,1,30/10/2015 17:47,13
1298,10,1,30/10/2015 17:47,15
1298,8,1,30/10/2015 17:47,15
1239,8,1,30/10/2015 17:47,10
1238,8,1,30/10/2015 17:47,10
1237,8,1,30/10/2015 17:47,10
1300,12,1,30/10/2015 17:47,10
1239,9,1,30/10/2015 17:47,12
1239,10,1,30/10/2015 17:47,12
1238,10,1,30/10/2015 17:47,12
1300,9,1,30/10/2015 17:47,12
1298,10,1,30/10/2015 17:47,13
1239,10,1,30/10/2015 17:47,13
1300,10,1,30/10/2015 17:47,13
1298,10,1,30/10/2015 17:47,13
1239,10,1,30/10/2015 17:47,16
1298,8,1,30/10/2015 17:47,16
1300,8,1,01/11/2015 11:23,7
1400,8,1,01/11/2015 11:23,7
1238,8,1,01/11/2015 11:23,7
1391,8,1,01/11/2015 11:23,7
1239,8,1,01/11/2015 11:23,7
1300,8,1,01/11/2015 11:23,7
1298,8,1,01/11/2015 11:23,7
1239,8,1,01/11/2015 11:23,7
1239,7,1,01/11/2015 11:23,7
1391,10,1,01/11/2015 11:23,17
1298,10,1,01/11/2015 11:23,17
1237,8,1,01/11/2015 11:23,4
1300,8,1,01/11/2015 11:23,4
1298,8,1,01/11/2015 11:23,4
1391,8,1,01/11/2015 11:23,4
1239,8,1,01/11/2015 11:23,4
1239,8,1,01/11/2015 11:23,4
1239,8,1,01/11/2015 11:23,4
1239,8,1,01/11/2015 11:23,4
1239,7,1,01/11/2015 11:23,4
1391,10,1,01/11/2015 11:23,17
1238,10,1,01/11/2015 11:23,17
1298,8,1,04/11/2015 19:21,3
1400,5,1,04/11/2015 19:21,3
1239,8,1,04/11/2015 19:21,3
1300,8,1,04/11/2015 19:21,3
1235,8,1,04/11/2015 19:21,3
1238,7,1,04/11/2015 19:21,3
1237,10,1,04/11/2015 19:21,18
1391,8,1,04/11/2015 19:21,18
1697,8,1,04/11/2015 19:21,18
1239,8,1,04/11/2015 19:21,18
1239,12,1,04/11/2015 19:21,2
1239,10,1,04/11/2015 19:21,2
1239,8,1,04/11/2015 19:21,1
1300,5,1,04/11/2015 19:21,1
1298,8,1,04/11/2015 19:21,1
1239,8,1,04/11/2015 19:21,1
1238,8,1,04/11/2015 19:21,1
1239,7,1,04/11/2015 19:21,1
1401,10,1,04/11/2015 19:21,19
1391,8,1,04/11/2015 19:21,19
1298,8,1,04/11/2015 19:21,19
1237,8,1,04/11/2015 19:21,19
1300,12,1,04/11/2015 19:21,2
1235,10,1,04/11/2015 19:21,2
1298,8,1,06/11/2015 16:48,10
1400,9,1,06/11/2015 16:48,10
1239,8,1,06/11/2015 16:48,10
1239,11,1,06/11/2015 16:48,14
1298,9,1,06/11/2015 16:48,14
1298,8,1,06/11/2015 16:48,14
1238,12,1,06/11/2015 16:48,11
1298,12,1,06/11/2015 16:48,11
1238,12,1,06/11/2015 16:48,11
1401,15,1,06/11/2015 16:48,13
1400,15,1,06/11/2015 16:48,13
1200,12,1,06/11/2015 16:48,13
1298,10,1,06/11/2015 16:48,13
1391,8,1,06/11/2015 16:48,10
1391,9,1,06/11/2015 16:48,10
1300,8,1,06/11/2015 16:48,10
1298,11,1,06/11/2015 16:48,12
1391,9,1,06/11/2015 16:48,12
1239,8,1,06/11/2015 16:48,12
1300,12,1,06/11/2015 16:48,11
1298,12,1,06/11/2015 16:48,11
1239,12,1,06/11/2015 16:48,11
1235,15,1,06/11/2015 16:48,13
1298,15,1,06/11/2015 16:48,13
1300,12,1,06/11/2015 16:48,13
1239,10,1,06/11/2015 16:48,13
1237,8,1,08/11/2015 12:37,3
1237,7,1,08/11/2015 12:37,3
1238,8,1,08/11/2015 12:37,3
1391,8,1,08/11/2015 12:37,3
1300,8,1,08/11/2015 12:37,3
1391,10,1,08/11/2015 12:37,18
1298,10,1,08/11/2015 12:37,18
1298,10,1,08/11/2015 12:37,18
1298,10,1,08/11/2015 12:37,2
1300,14,1,08/11/2015 12:37,2
1239,8,1,08/11/2015 12:37,1
1298,7,1,08/11/2015 12:37,1
1298,8,1,08/11/2015 12:37,1
1237,8,1,08/11/2015 12:37,1
1298,8,1,08/11/2015 12:37,1
1391,10,1,08/11/2015 12:37,19
1239,10,1,08/11/2015 12:37,19
1400,10,1,08/11/2015 12:37,19
1298,10,1,08/11/2015 12:37,2
1391,14,1,08/11/2015 12:37,2
1238,8,1,08/11/2015 17:45,4
1400,8,1,08/11/2015 17:45,4
1238,8,1,08/11/2015 17:45,4
1238,8,1,08/11/2015 17:45,4
1400,8,1,08/11/2015 17:45,4
1239,8,1,08/11/2015 17:45,4
1238,10,1,08/11/2015 17:45,17
1300,10,1,08/11/2015 17:45,17
1239,10,1,08/11/2015 17:45,5
1298,10,1,08/11/2015 17:45,5
1391,10,1,08/11/2015 17:45,5
1400,15,1,08/11/2015 17:45,20
1239,15,1,08/11/2015 17:45,20
1300,15,1,08/11/2015 17:45,20
1239,8,1,08/11/2015 17:45,7
1239,8,1,08/11/2015 17:45,7
1400,8,1,08/11/2015 17:45,7
1239,8,1,08/11/2015 17:45,7
1300,8,1,08/11/2015 17:45,7
1400,8,1,08/11/2015 17:45,7
1400,10,1,08/11/2015 17:45,17
1298,10,1,08/11/2015 17:45,17
1401,10,1,08/11/2015 17:45,8
1391,10,1,08/11/2015 17:45,8
1298,10,1,08/11/2015 17:45,8
1235,15,1,08/11/2015 17:45,20
1300,15,1,08/11/2015 17:45,20
1401,15,1,08/11/2015 17:45,20
1239,8,1,10/11/2015 17:10,10
1239,8,1,10/11/2015 17:10,10
1239,8,1,10/11/2015 17:10,10
1239,12,1,10/11/2015 17:10,10
1237,12,1,10/11/2015 17:10,13
1298,10,1,10/11/2015 17:10,13
1298,14,1,10/11/2015 17:10,13
1239,12,1,10/11/2015 17:10,14
1239,10,1,10/11/2015 17:10,14
1391,10,1,10/11/2015 17:10,14
1391,12,1,10/11/2015 17:10,14
1298,15,1,10/11/2015 17:10,15
1300,15,1,10/11/2015 17:10,15
1391,8,1,10/11/2015 17:10,10
