INSERT INTO `Exercise_Log` (`Account_No`,`Reps`,`Sets`,`Time`,`Exercise_ID`) VALUES
    (1238,8,1,"2015-10-23 17:06:37",1),
    (1238,8,1,"2015-10-23 17:06:37",1),
    (1298,5,1,"2015-10-23 17:06:37",1),
    (1238,7,1,"2015-10-23 17:06:37",1),
    (1400,8,1,"2015-10-23 17:06:37",1),
    (1298,8,1,"2015-10-23 17:06:37",1),
    (1300,8,1,"2015-10-23 17:06:37",1),
    (1239,8,1,"2015-10-23 17:06:37",2),
    (1298,8,1,"2015-10-23 17:06:37",2),
    (1298,8,1,"2015-10-23 17:06:37",2),
    (1300,8,1,"2015-10-23 17:06:37",2),
    (1298,8,1,"2015-10-23 17:06:37",3),
    (1391,8,1,"2015-10-23 17:06:37",3),
    (1298,5,1,"2015-10-23 17:06:37",3),
    (1400,7,1,"2015-10-23 17:06:37",3),
    (1400,8,1,"2015-10-23 17:06:37",3),
    (1400,8,1,"2015-10-23 17:06:37",3),
    (1300,8,1,"2015-10-23 17:06:37",3),
    (1239,8,1,"2015-10-23 17:06:37",2),
    (1391,8,1,"2015-10-23 17:06:37",2),
    (1391,8,1,"2015-10-23 17:06:37",2),
    (1300,8,1,"2015-10-23 17:06:37",2),
    (1300,8,1,"2015-10-23 22:01:34",4),
    (1298,5,1,"2015-10-23 22:01:34",4),
    (1239,7,1,"2015-10-23 22:01:34",4),
    (1237,5,1,"2015-10-23 22:01:34",4),
    (1400,5,1,"2015-10-23 22:01:34",4),
    (1238,6,1,"2015-10-23 22:01:34",4),
    (1298,8,1,"2015-10-23 22:01:34",4),
    (1391,10,1,"2015-10-23 22:01:34",5),
    (1239,10,1,"2015-10-23 22:01:34",5),
    (1238,10,1,"2015-10-23 22:01:34",5),
    (1298,8,1,"2015-10-23 22:01:34",6),
    (1239,8,1,"2015-10-23 22:01:34",6),
    (1239,8,1,"2015-10-23 22:01:34",7),
    (1300,5,1,"2015-10-23 22:01:34",7),
    (1237,7,1,"2015-10-23 22:01:34",7),
    (1400,5,1,"2015-10-23 22:01:34",7),
    (1400,5,1,"2015-10-23 22:01:34",7),
    (1400,6,1,"2015-10-23 22:01:34",7),
    (1300,8,1,"2015-10-23 22:01:34",7),
    (1298,10,1,"2015-10-23 22:01:34",8),
    (1391,10,1,"2015-10-23 22:01:34",8),
    (1238,10,1,"2015-10-23 22:01:34",8),
    (1697,8,1,"2015-10-23 22:01:34",9),
    (1400,8,1,"2015-10-23 22:01:34",9),
    (1401,8,1,"2015-10-24 10:19:52",10),
    (1238,8,1,"2015-10-24 10:19:52",10),
    (1298,8,1,"2015-10-24 10:19:52",10),
    (1391,10,1,"2015-10-24 10:19:52",10),
    (1298,10,1,"2015-10-24 10:19:52",11),
    (1300,10,1,"2015-10-24 10:19:52",11),
    (1238,8,1,"2015-10-24 10:19:52",12),
    (1298,8,1,"2015-10-24 10:19:52",12),
    (1401,8,1,"2015-10-24 10:19:52",12),
    (1238,8,1,"2015-10-24 10:19:52",12),
    (1238,12,1,"2015-10-24 10:19:52",13),
    (1237,10,1,"2015-10-24 10:19:52",13),
    (1238,12,1,"2015-10-24 10:19:52",13),
    (1235,8,1,"2015-10-24 10:19:52",10),
    (1298,8,1,"2015-10-24 10:19:52",10),
    (1391,8,1,"2015-10-24 10:19:52",10),
    (1298,10,1,"2015-10-24 10:19:52",10),
    (1298,10,1,"2015-10-24 10:19:52",11),
    (1400,10,1,"2015-10-24 10:19:52",11),
    (1239,8,1,"2015-10-24 10:19:52",14),
    (1400,8,1,"2015-10-24 10:19:52",14),
    (1400,8,1,"2015-10-24 10:19:52",14),
    (1391,8,1,"2015-10-24 10:19:52",14),
    (1239,12,1,"2015-10-24 10:19:52",13),
    (1238,10,1,"2015-10-24 10:19:52",13),
    (1298,12,1,"2015-10-24 10:19:52",13),
    (1300,5,1,"2015-10-30 13:07:09",3),
    (1298,5,1,"2015-10-30 13:07:09",3),
    (1300,6,1,"2015-10-30 13:07:09",3),
    (1300,7,1,"2015-10-30 13:07:09",3),
    (1300,8,1,"2015-10-30 13:07:09",3),
    (1697,8,1,"2015-10-30 13:07:09",3),
    (1300,8,1,"2015-10-30 13:07:09",3),
    (1239,6,1,"2015-10-30 13:07:09",3),
    (1300,8,1,"2015-10-30 13:07:09",2),
    (1300,8,1,"2015-10-30 13:07:09",2),
    (1391,8,1,"2015-10-30 13:07:09",2),
    (1300,5,1,"2015-10-30 13:07:09",1),
    (1239,5,1,"2015-10-30 13:07:09",1),
    (1298,6,1,"2015-10-30 13:07:09",1),
    (1300,7,1,"2015-10-30 13:07:09",1),
    (1238,8,1,"2015-10-30 13:07:09",1),
    (1298,8,1,"2015-10-30 13:07:09",1),
    (8765,8,1,"2015-10-30 13:07:09",1),
    (1298,6,1,"2015-10-30 13:07:09",1),
    (1237,8,1,"2015-10-30 13:07:09",2),
    (1298,8,1,"2015-10-30 13:07:09",2),
    (1298,8,1,"2015-10-30 13:07:09",2),
    (1238,8,1,"2015-10-30 17:47:44",10),
    (1300,8,1,"2015-10-30 17:47:44",10),
    (1239,8,1,"2015-10-30 17:47:44",10),
    (1238,12,1,"2015-10-30 17:47:44",10),
    (1298,9,1,"2015-10-30 17:47:44",14),
    (1238,10,1,"2015-10-30 17:47:44",14),
    (1391,10,1,"2015-10-30 17:47:44",14),
    (1300,9,1,"2015-10-30 17:47:44",14),
    (1239,10,1,"2015-10-30 17:47:44",13),
    (1239,10,1,"2015-10-30 17:47:44",13),
    (1235,10,1,"2015-10-30 17:47:44",13),
    (1300,10,1,"2015-10-30 17:47:44",13),
    (1298,10,1,"2015-10-30 17:47:44",15),
    (1298,8,1,"2015-10-30 17:47:44",15),
    (1239,8,1,"2015-10-30 17:47:44",10),
    (1238,8,1,"2015-10-30 17:47:44",10),
    (1237,8,1,"2015-10-30 17:47:44",10),
    (1300,12,1,"2015-10-30 17:47:44",10),
    (1239,9,1,"2015-10-30 17:47:44",12),
    (1239,10,1,"2015-10-30 17:47:44",12),
    (1238,10,1,"2015-10-30 17:47:44",12),
    (1300,9,1,"2015-10-30 17:47:44",12),
    (1298,10,1,"2015-10-30 17:47:44",13),
    (1239,10,1,"2015-10-30 17:47:44",13),
    (1300,10,1,"2015-10-30 17:47:44",13),
    (1298,10,1,"2015-10-30 17:47:44",13),
    (1239,10,1,"2015-10-30 17:47:44",16),
    (1298,8,1,"2015-10-30 17:47:44",16),
    (1300,8,1,"2015-11-01 11:23:25",7),
    (1400,8,1,"2015-11-01 11:23:25",7),
    (1238,8,1,"2015-11-01 11:23:25",7),
    (1391,8,1,"2015-11-01 11:23:25",7),
    (1239,8,1,"2015-11-01 11:23:25",7),
    (1300,8,1,"2015-11-01 11:23:25",7),
    (1298,8,1,"2015-11-01 11:23:25",7),
    (1239,8,1,"2015-11-01 11:23:25",7),
    (1239,7,1,"2015-11-01 11:23:25",7),
    (1391,10,1,"2015-11-01 11:23:25",17),
    (1298,10,1,"2015-11-01 11:23:25",17),
    (1237,8,1,"2015-11-01 11:23:25",4),
    (1300,8,1,"2015-11-01 11:23:25",4),
    (1298,8,1,"2015-11-01 11:23:25",4),
    (1391,8,1,"2015-11-01 11:23:25",4),
    (1239,8,1,"2015-11-01 11:23:25",4),
    (1239,8,1,"2015-11-01 11:23:25",4),
    (1239,8,1,"2015-11-01 11:23:25",4),
    (1239,8,1,"2015-11-01 11:23:25",4),
    (1239,7,1,"2015-11-01 11:23:25",4),
    (1391,10,1,"2015-11-01 11:23:25",17),
    (1238,10,1,"2015-11-01 11:23:25",17),
    (1298,8,1,"2015-11-04 19:21:19",3),
    (1400,5,1,"2015-11-04 19:21:19",3),
    (1239,8,1,"2015-11-04 19:21:19",3),
    (1300,8,1,"2015-11-04 19:21:19",3),
    (1235,8,1,"2015-11-04 19:21:19",3),
    (1238,7,1,"2015-11-04 19:21:19",3),
    (1237,10,1,"2015-11-04 19:21:19",18),
